## 2.100000 146
TIME_DIFF ,0.000000,1.142239,1.151854
LCCQ , 14.000000, 14.000000, 14.000000
LCKA , 75.000000, 147.000000, 214.000000
LCSA , 191.000000, 191.000000, 191.000000
LCTN , 52.000000, 52.000000, 52.000000
LCTQ , 106.000000, 106.000000, 106.000000
LDEN , 0.000000, 0.000000, 0.000000
LDI2 , 1.000000, 1.000000, 1.000000
LDS4 , 0.000000, 0.000000, 0.000000
LDWE , 0.000000, 0.000000, 0.000000
LS!  , 0.000000, 0.000000, 0.000000
LSCF , 0x00 c8 01 90 80 00 02 02  00 20 , 0x00 c8 01 90 80 00 02 02  00 20 , 0x00 c8 01 90 80 00 02 02  00 20 
LSDD , 0x00 02 00 03 00 03 00 19  , 0x00 02 00 03 00 03 00 19  , 0x00 02 00 03 00 03 00 19  
LSDU , 0x00 03 00 02 00 14 00 03  , 0x00 03 00 02 00 14 00 03  , 0x00 03 00 02 00 14 00 03  
LSFD , 0x00 00 00 04 00 8c , 0x00 00 00 04 00 8c , 0x00 00 00 04 00 8c 
LSFU , 0x00 00 00 04 00 8c , 0x00 00 00 04 00 8c , 0x00 00 00 04 00 8c 
LSLB , 0xff ff , 0xff ff , 0xff ff 
LSLF , 0x00 00 , 0x00 00 , 0x00 00 
LSLN , 0xff ff , 0xff ff , 0xff ff 
LSOF , 1.000000, 1.000000, 1.000000
LSPV , 0x00 00 , 0x00 00 , 0x00 00 
LSSE , 1.000000, 1.000000, 1.000000
LSSV , 65535.000000, 65535.000000, 65535.000000
MACM , 1.000000, 1.000000, 1.000000
MOCF , 33536.000000, 33536.000000, 33536.000000
MOCN , 57592.000000, 57592.000000, 57592.000000
MOHD , 30.000000, 30.000000, 30.000000
MOHT , 1.750000, 1.750000, 1.750000
MOLD , 30.000000, 30.000000, 30.000000
MOLT , 0.375000, 0.375000, 0.375000
MOST , 32768.000000, 32768.000000, 32768.000000
MOTP , 1.000000, 1.000000, 1.000000
MOVX , 0.000000, 0.000000, 0.000000
MOVY , 0.000000, 0.000000, 0.000000
MOVZ , 0.000000, 0.000000, 0.000000
MO_X , -0.136719, -0.136719, -0.132812
MO_Y , -0.058594, -0.054688, -0.046875
MO_Z , 1.054688, 1.050781, 1.058594
MSAL , 75.000000, 75.000000, 75.000000
MSAc , 0.000000, 0.000000, 0.000000
MSAf , 0.000000, 0.000000, 0.000000
MSAg , 0.000000, 0.000000, 0.000000
MSAm , 0.000000, 0.000000, 0.000000
MSBC , 0.000000, 0.000000, 0.000000
MSBP , 0.000000, 0.000000, 0.000000
MSBc , 0.000000, 0.000000, 0.000000
MSBp , 0.000000, 0.000000, 0.000000
MSDI , 0.000000, 0.000000, 0.000000
MSG3 , 0.000000, 0.000000, 0.000000
MSLB , 0.000000, 0.000000, 0.000000
MSLD , 0.000000, 0.000000, 0.000000
MSPA , 0.000000, 0.000000, 0.000000
MSPC , 16.000000, 16.000000, 16.000000
MSPS , 3.000000, 3.000000, 3.000000
MSPs , 0.000000, 0.000000, 0.000000
MSSD , 0.000000, 0.000000, 0.000000
MSSE , 0.000000, 0.000000, 0.000000
MSSF , 0.000000, 0.000000, 0.000000
MSSG , 0.000000, 0.000000, 0.000000
MSSP , 0.000000, 0.000000, 0.000000
MSSS , 0x00 , 0x00 , 0x00 
MSTC , 0.000000, 0.000000, 0.000000
MSTM , 1.000000, 1.000000, 1.000000
MSTS , 6.000000, 6.000000, 6.000000
MSTg , 0.000000, 0.000000, 0.000000
MSTm , 0.000000, 0.000000, 0.000000
MSWA , 0.000000, 0.000000, 0.000000
MSWE , 0.000000, 0.000000, 0.000000
MSWF , 1000.000000, 1000.000000, 1000.000000
MSWO , 1000.000000, 1000.000000, 1000.000000
MSWP , 0.000000, 0.000000, 0.000000
MSWr , 0.000000, 0.000000, 0.000000
MSXb , 0.000000, 0.000000, 0.000000
MSXm , 8.000000, 8.000000, 8.000000
MSa! , 0.000000, 0.000000, 0.000000
MSac , 0.000000, 0.000000, 0.000000
MSaf , 0.000000, 0.000000, 0.000000
MSag , 0.000000, 0.000000, 0.000000
MSam , 0.000000, 0.000000, 0.000000
MSap , 0.000000, 0.000000, 0.000000
MVDS , 0.000000, 0.000000, 0.000000
MVS4 , 0.000000, 0.000000, 0.000000
NATJ , 2.000000, 2.000000, 2.000000
NATi , 25.000000, 29.000000, 28.000000
NOPB , 0.000000, 0.000000, 0.000000
ONMI , 0.000000, 0.000000, 0.000000
PB0R , 1.929688, 1.949219, 1.945312
PC0C , 0.000000, 0.000000, 0.000000
PC0R , 15.886719, 10.375000, 9.136719
PCPC , 11.613281, 7.320312, 6.363281
PCPG , 0.183594, 0.171875, 0.156250
PCPL , 35.000000, 35.000000, 35.000000
PCPT , 15.082031, 10.816406, 9.816406
PD0R , 51.832031, 50.687500, 49.148438
PHPC , 15.886719, 10.375000, 9.136719
PN0C , 0.000000, 0.000000, 0.000000
PO0R , 3.968750, 4.097656, 3.878906
PTHC , 39.000000, 39.000000, 39.000000
PZ0F , 39.000000, 39.000000, 39.000000
PZ0S , 39.000000, 39.000000, 39.000000
RBr  , 0x6b 39 30 69 00 00 00 00  , 0x6b 39 30 69 00 00 00 00  , 0x6b 39 30 69 00 00 00 00  
REV  , 0x01 68 0f 00 00 99 , 0x01 68 0f 00 00 99 , 0x01 68 0f 00 00 99 
RMde , A , A , A 
RPlt , 0x6b 39 30 69 00 00 00 00  , 0x6b 39 30 69 00 00 00 00  , 0x6b 39 30 69 00 00 00 00  
RSvn , 0.000000, 0.000000, 0.000000
RVBF , 0x01 68 0f 00 00 96 , 0x01 68 0f 00 00 96 , 0x01 68 0f 00 00 96 
RVUF , 0x01 68 0f 00 00 96 , 0x01 68 0f 00 00 96 , 0x01 68 0f 00 00 96 
SAS! , 0x00 00 be b3 , 0x00 00 be b3 , 0x00 00 be b3 
SBF  , 0x00 00 00 00 , 0x00 00 00 00 , 0x00 00 00 00 
SBFD , 0x00 00 00 00 , 0x00 00 00 00 , 0x00 00 00 00 
SBFE , 1.000000, 1.000000, 1.000000
SBFN , 0x00 00 00 00 , 0x00 00 00 00 , 0x00 00 00 00 
SBFU , 0x00 00 00 08 , 0x00 00 00 08 , 0x00 00 00 08 
SCIA , 1016.000000, 1016.000000, 1016.000000
SCII , 0.000000, 0.000000, 0.000000
SCIL , 0.000000, 0.000000, 0.000000
SCXC , 100.000000, 100.000000, 100.000000
SDAF , 0.000000, 0.000000, 0.000000
SDAS , 0.000000, 0.000000, 0.000000
SFBR , 4.000000, 4.000000, 4.000000
SPH0 , 0.000000, 0.000000, 0.000000
SPHR , 0.000000, 0.000000, 0.000000
SPHS , 1.000000, 1.000000, 1.000000
SPHT , 0.000000, 0.000000, 0.000000
SPS! , 0x00 00 00 00 , 0x00 00 00 00 , 0x00 00 00 00 
SWER , 0x00 , 0x00 , 0x00 
Sr0P , -2.000000, -2.000000, -2.000000
Sr0T , 49.000000, 49.000000, 49.000000
Sr1P , -8.000000, -8.000000, -8.000000
Sr1T , 93.000000, 93.000000, 93.000000
Sw0P , 0.000000, 0.000000, 0.000000
Sw0T , 56.500000, 56.500000, 56.500000
Sw1P , -2.000000, -2.000000, -2.000000
Sw1T , 52.000000, 52.000000, 52.000000
Sw2P , 0.000000, 0.000000, 0.000000
Sw2T , 98.000000, 98.000000, 98.000000
Sw3P , 0.000000, 0.000000, 0.000000
Sw3T , 15.527344, 15.527344, 15.527344
Sw4P , 0.000000, 0.000000, 0.000000
Sw4T , 15.527344, 15.527344, 15.527344
TB0T , 25.097656, 25.097656, 25.097656
TB1T , 25.097656, 25.097656, 25.097656
TB2T , 25.097656, 25.097656, 25.097656
TC0C , 67.265625, 65.531250, 65.046875
TC0D , 62.125000, 61.500000, 60.500000
TC0E , 65.785156, 65.777344, 65.750000
TC0F , 65.906250, 65.898438, 65.871094
TC0J , 0.121094, 0.121094, 0.121094
TC0P , 57.250000, 57.500000, 57.750000
TC1C , 65.000000, 65.000000, 65.000000
TC2C , 58.000000, 57.000000, 59.000000
TCFC , 32.000000, 32.000000, 31.000000
TCGC , 65.000000, 64.000000, 64.000000
TCSA , 62.000000, 62.000000, 61.000000
TCTD , 0.007812, 0.078125, 0.105469
TM0P , 41.875000, 42.000000, 41.875000
TM0S , 52.628906, 52.632812, 52.621094
TMBS , 0.000000, 0.000000, 0.000000
TP0P , 49.500000, 49.625000, 49.500000
TPCD , 56.000000, 56.000000, 56.000000
TW0P , -127.000000, -127.000000, -127.000000
Th1H , 46.875000, 46.875000, 46.875000
Ts0P , 33.312500, 33.312500, 33.312500
Ts0S , 42.375000, 42.371094, 42.371094
UPRC , 2117.000000, 2117.000000, 2117.000000
VC0C , 0.999268, 0.974365, 0.954590
VC0c , 17664.000000, 20800.000000, 16000.000000
VD0R , 16.290039, 16.308594, 16.332031
VD0r , 54080.000000, 53952.000000, 54208.000000
VN0R , 0.461182, 0.459473, 0.453125
VN0r , 8960.000000, 8960.000000, 8960.000000
VP0R , 12.022949, 12.118164, 12.121094
VP0r , 39680.000000, 40128.000000, 40192.000000
WKEN , 0.000000, 0.000000, 0.000000
WVr0 , 255.000000, 255.000000, 255.000000
WVw0 , 255.000000, 255.000000, 255.000000
zDBG , 0.000000, 0.000000, 0.000000
zDSF , 0.000000, 0.000000, 0.000000
TIME_END ,1.142221,1.151849,1.193005


RAM Event Buffer:
EVCT: 0x00 00
Event 0: 0xf6 0x06 0x03 0x00 0x00 0x40 0x00 0x00 
Event 1: 0x71 0x02 0xff 0x00 0x01 0x40 0x00 0x00 
Event 2: 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
Event 3: 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
Event 4: 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
Event 5: 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
Event 6: 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
Event 7: 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
Event 8: 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
Event 9: 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
Event 10: 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
Event 11: 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
Event 12: 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
Event 13: 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
Event 14: 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
Event 15: 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
Not present.
